"Marca","Fabricante","Modelo","Sistema operativo","Capacidad de la memoria","Memoria extraíble","Resolución del sensor óptico","Valoración","Valoraciones","Precio","Imagen"
"Huawai","Huawai","Note20U+"," ","512 GB"," ","48 MP","1.0","1","158.00","Pictures/816XgALwJwL._AC_SL1500_.jpg"
"Blackview","Blackview","BV5900","Android 9.0","32 GB","MicroSD","13 MP","4.2","824","124.99","Pictures/71xTxGoiq9L._AC_SL1340_.jpg"
"Crosscall","Crosscall","SPIDER-X5","Syst\xc3\xa8me Propri\xc3\xa9taire","128 MB"," ","2 MP","3.9","22","113.80","Pictures/61OHPLcFH6L._AC_SL1500_.jpg"
"LG","LG","LGH850.AESPTN","Android 6.0","32 GB"," ","16 MP","4.0","647","145.00","Pictures/71NEeZU3HGL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.251"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi EU (Catalog and Report)","1","Android 8.1","6 GB"," ","20 MP","4.3","163","295.00","Pictures/61xGRLwXrEL._AC_SL1000_.jpg"
"A ADDTOP","Dongguan Jili Intelligent Technology Co., Ltd.","B02P"," "," "," "," ","4.6","316","25.99","Pictures/71%2Bf4CrdQzL._AC_SL1500_.jpg"
"Dilwe","Dilwe"," "," ","128 GB"," "," "," "," ","118.29","Pictures/51YqmYUQdhL._AC_SL1001_.jpg"
"CUBOT","CUBOT"," ","Android","64 GB"," ","12 MP","3.7","48","109.99","Pictures/71kxRma8NWL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","6941059648413","Android 10.0","2 GB"," ","13 MP","4.5","847","122.49","Pictures/51zZTQykpHL._AC_SL1000_.jpg"
"HUAWEI","HUAWEI"," ","Android","4 GB"," ","48 MP","3.6","1.835","179.00","Pictures/61EgupQBDlL._AC_SL1200_.jpg"
"Brondi","Brondi","10273851","Android"," "," ","1.3 MP","3.9","125","30.04","Pictures/61za0E9QMGL._AC_SL1200_.jpg"
"Xiaomi","Xiaomi"," ","Android 5.1","128 GB"," ","48 MP","4.4","482","199.00","Pictures/61yaIte1PBL._AC_SL1000_.jpg"
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51yGO6MV%2BNL._AC_SL1001_.jpg"
"Apobob","Black Shark"," "," ","256 GB"," "," "," "," ","899.00","Pictures/61CAKD177GL._AC_SL1000_.jpg"
"A ADDTOP","Dongguan Jili Intelligent Technology Co., Ltd.","B02P"," "," "," "," ","4.6","316","25.99","Pictures/71%2Bf4CrdQzL._AC_SL1500_.jpg"
"OUKITEL","Emtugee"," ","Android 10.0","16 GB"," "," ","4.4","82","79.99","Pictures/71wt8XtQrGL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi"," ","Android 4.1","64 GB"," ","13 MP","4.5","477","145.00","Pictures/51-GTEwlcZL._AC_SL1000_.jpg"
"Leftwei","Leftwei"," "," ","16 GB"," "," "," "," ","33.59","Pictures/610VJcWUKlL._AC_SL1001_.jpg"
